Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,1605.000000,1605.000000,1595.000000,1603.699951,1527.436890,90
2019-07-04,1619.800049,1620.000000,1600.900024,1615.699951,1538.866333,12356
2019-07-05,1630.000000,1650.000000,1615.000000,1622.099976,1544.962036,7264
2019-07-08,1645.000000,1645.000000,1615.000000,1625.099976,1547.819458,781
2019-07-09,1645.000000,1645.000000,1615.000000,1622.699951,1545.533447,832
2019-07-10,1639.000000,1639.000000,1615.000000,1621.599976,1544.485718,818
2019-07-11,1634.900024,1637.000000,1621.000000,1634.000000,1556.296143,822
2019-07-12,1674.000000,1674.000000,1609.599976,1674.000000,1594.394043,21127
2019-07-15,1649.900024,1649.900024,1637.000000,1645.500000,1567.249268,7020
2019-07-17,1649.900024,1650.000000,1638.300049,1642.099976,1564.010864,4826
2019-07-18,1625.000000,1645.000000,1620.000000,1625.000000,1547.723999,42708
2019-07-19,1625.000000,1629.900024,1620.099976,1622.800049,1545.628784,9526
2019-07-22,1621.900024,1625.000000,1621.900024,1625.000000,1547.723999,1412753
2019-07-23,1638.000000,1638.000000,1625.000000,1638.000000,1560.105957,39059
2019-07-24,1630.000000,1631.000000,1630.000000,1630.199951,1552.676758,13974
2019-07-25,1659.000000,1659.000000,1630.000000,1644.800049,1566.582520,10713
2019-07-26,1625.099976,1650.000000,1625.099976,1625.099976,1547.819458,21280
2019-07-29,1635.000000,1635.000000,1625.000000,1634.900024,1557.153320,11750
2019-07-30,1625.000000,1643.000000,1625.000000,1627.199951,1549.819458,13734
2019-07-31,1657.500000,1658.000000,1627.000000,1657.500000,1578.678467,35236
2019-08-01,1620.000000,1648.099976,1607.800049,1620.500000,1543.438110,4435
2019-08-02,1596.000000,1615.000000,1581.000000,1596.000000,1520.103027,122225
2019-08-05,1600.000000,1619.800049,1565.000000,1600.000000,1523.912842,50967
2019-08-06,1596.000000,1600.099976,1589.000000,1596.500000,1520.579468,1495
2019-08-07,1580.000000,1594.900024,1580.000000,1590.099976,1514.483765,59124
2019-08-08,1638.000000,1638.000000,1590.000000,1618.800049,1541.818970,9212
2019-08-09,1609.000000,1618.000000,1600.000000,1612.000000,1535.342285,16005
