Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,1900.000000,1903.000000,1899.400024,1901.699951,1808.083740,4
2019-07-04,1915.000000,1915.000000,1895.099976,1915.000000,1820.729126,45234
2019-07-05,1912.000000,1912.000000,1905.900024,1910.000000,1815.975098,9518
2019-07-08,1910.000000,1912.000000,1908.000000,1911.099976,1817.020996,220807
2019-07-09,1901.000000,1918.000000,1901.000000,1908.699951,1814.739136,14099
2019-07-10,1918.000000,1918.000000,1910.000000,1918.000000,1823.581299,12207
2019-07-11,1936.900024,1937.000000,1915.000000,1936.599976,1841.265747,892
2019-07-12,1934.900024,1934.900024,1920.000000,1934.900024,1839.649536,67098
2019-07-15,1934.900024,1934.900024,1915.000000,1934.900024,1839.649536,70582
2019-07-17,1915.199951,1932.900024,1900.000000,1915.199951,1820.919189,81244
2019-07-18,1915.199951,1929.699951,1902.099976,1914.900024,1820.634033,14413
2019-07-19,1915.000000,1920.000000,1901.099976,1915.000000,1820.729126,30876
2019-07-22,1915.000000,1915.000000,1905.000000,1915.000000,1820.729126,73587
2019-07-23,1919.000000,1919.000000,1905.000000,1919.000000,1824.532227,95095
2019-07-24,1900.099976,1918.800049,1900.000000,1900.099976,1806.562500,126150
2019-07-25,1902.000000,1910.000000,1860.599976,1902.000000,1808.369141,138913
2019-07-26,1897.000000,1918.000000,1882.000000,1897.000000,1803.615234,141467
2019-07-29,1900.000000,1900.000000,1880.099976,1900.000000,1806.467407,226682
2019-07-30,1910.000000,1910.000000,1890.000000,1910.000000,1815.975098,35000
2019-07-31,1918.000000,1918.000000,1832.199951,1918.000000,1823.581299,251589
2019-08-01,1918.000000,1918.000000,1855.000000,1918.000000,1823.581299,40000
2019-08-02,1915.000000,1917.199951,1857.000000,1915.000000,1820.729126,82109
2019-08-05,1905.000000,1905.000000,1840.099976,1905.000000,1811.221313,246713
2019-08-06,1917.000000,1917.000000,1836.000000,1917.000000,1822.630615,20560
2019-08-07,1910.000000,1920.000000,1865.000000,1910.000000,1815.975098,62944
2019-08-08,1915.000000,1915.000000,1830.000000,1915.000000,1820.729126,100113
2019-08-09,1910.000000,1914.900024,1871.000000,1910.000000,1815.975098,180433
2019-08-12,1900.000000,1920.000000,1877.099976,1905.599976,1811.791748,1236
2019-08-13,1917.000000,1920.000000,1876.000000,1906.500000,1812.647461,5980
2019-08-14,1915.000000,1919.800049,1820.300049,1915.000000,1820.729126,44698
2019-08-16,1910.000000,1910.000000,1860.900024,1910.000000,1815.975098,41877
2019-08-19,1914.000000,1920.099976,1886.000000,1907.800049,1813.883545,6552
2019-08-20,1910.000000,1918.000000,1891.099976,1910.000000,1815.975098,192945
2019-08-21,1914.000000,1918.900024,1881.599976,1914.500000,1820.253540,10895
2019-08-22,1918.000000,1918.000000,1903.500000,1918.000000,1823.581299,58018
2019-08-23,1913.000000,1925.000000,1868.099976,1913.000000,1818.827393,55281
2019-08-26,1913.099976,1920.099976,1913.000000,1914.699951,1820.443726,927
2019-08-27,1891.199951,1947.099976,1876.400024,1891.199951,1798.100586,536567
2019-08-28,1910.000000,1948.000000,1872.300049,1910.000000,1815.975098,118766
2019-08-29,1944.000000,1950.000000,1911.900024,1944.000000,1848.301392,38301
2019-08-30,2018.000000,2020.099976,1944.000000,2018.000000,1918.658569,49248
2019-09-02,2007.699951,2015.000000,2000.000000,2006.500000,1907.724731,850
2019-09-03,2000.000000,2021.000000,1980.400024,2000.000000,1901.544678,96331
2019-09-04,2000.000000,2019.900024,1975.199951,2000.000000,1901.544678,161228
2019-09-05,2000.000000,2019.000000,1980.300049,2000.000000,1901.544678,37081
2019-09-06,2048.000000,2074.899902,2008.000000,2044.900024,1944.234497,4556
2019-09-09,2097.899902,2097.899902,2044.900024,2094.899902,1991.772949,6631
2019-09-10,2058.000000,2099.000000,2032.000000,2058.000000,1956.689453,139370
2019-09-11,2075.000000,2080.000000,2015.000000,2075.000000,1972.852539,72989
2019-09-12,2068.899902,2082.000000,2055.000000,2068.899902,1967.052734,54635
2019-09-13,2050.000000,2075.000000,2031.000000,2050.000000,1949.083252,91237
2019-09-16,2075.000000,2095.500000,2040.000000,2075.000000,1972.852539,30506
2019-09-17,2090.000000,2093.000000,2050.000000,2090.000000,1987.114136,688033
2019-09-23,2070.199951,2105.800049,2057.000000,2070.199951,1968.288818,70685
2019-09-24,2076.000000,2149.899902,2070.000000,2078.300049,1975.990112,12389
2019-09-25,2055.000000,2099.800049,2020.000000,2055.000000,1953.837158,38428
2019-09-26,2070.000000,2080.000000,2060.000000,2070.000000,1968.098755,230576
2019-09-27,2075.000000,2080.000000,2036.000000,2075.000000,1972.852539,82799
2019-09-30,2080.000000,2080.000000,2048.000000,2080.000000,1977.606445,268578
2019-10-01,2080.000000,2080.000000,2050.399902,2080.000000,1977.606445,120000
2019-10-02,2049.899902,2065.000000,2010.000000,2049.899902,1948.988159,20000
2019-10-03,2078.899902,2079.000000,2047.000000,2072.399902,1970.380615,13098
2019-10-04,2080.000000,2080.000000,2051.500000,2080.000000,1977.606445,130092
2019-10-07,2080.000000,2080.000000,2050.100098,2080.000000,1977.606445,25231
2019-10-08,2095.000000,2095.000000,2039.900024,2095.000000,1991.868042,64993
2019-10-09,2060.500000,2102.000000,2050.000000,2060.500000,1959.066406,29267
2019-10-10,2100.000000,2100.000000,2075.100098,2100.000000,1996.621826,87432
